영단어,동의어,단어뜻,예문,예문뜻
raise,"lift, elevate","(위로) 올리다, 끌어 올리다; 기르다, 양육하다; 진급 하다","I was born in Busan, but was raised in Seoul.",저는 부산에서 태어났지만 서울에서 자랐습니다.
create,"make, produce, invent",창조하다; 창작하다; 만들다,The first part of the Bible tells a story of how the world was created by God.,성서의 첫 부분을 읽어보면 이 세상이 신에 의하여 창조된 방법에 관한 이 야기가 나온다.
survive,,"생존하다, 살아남다 , (남보다) 오래 살다","Her parents dies in the accidents, but she survived.",그녀의 부모는 그 사고로 죽었지만 그녀는 살아남았다.
separate,divide,"분리하다, 떼어놓다; 헤어지다",The strait that separates mainland China from Taiwan is 175 km across.,중국과 대만을 가르는 해협의 거리는 175킬로미터이다.
ordinary,normal,"보통의; 평범한, 통상의 , 정규의","As it is, ordinary people cannot afford to purchase such luxuries.",실제로 보통 사람들은 그런 사치품을 구입할 여유가 없다.
arise,happen,"일어나다, 나타나다; 발생하다, 생기다",Trade friction might arise between the two nations at any moment.,두 나라 간의 무역 마찰은 언제라도 일어날 것 같다.
nourish,"feed, nurture","기르다, 영양분을 주다",The children were nourished with home-cooked meals.,아이들은 집에서 요리한 음식을 먹고 자랐다.
destiny,fate,"운명, 숙명; 운(運)",No one can tell about his destiny.,아무도 제 운명을 모른다.
animate,"energize, inspire","살리다, 생기를 불어 넣다",A smile animated her face.,미소가 그녀의 얼굴을 생기 있게 했다.
extinct,,"(불이) 꺼진, (화산 등이) 활동을 그친; 멸종한",Dinosaurs have been extinct for millions of years.,공룡은 수백만 년 전에 멸종되었다.
mature,grown-up,성숙한 ; 잘 발육[발달]한; 다 익은,His niece is sociable and mature for her age.,그의 질녀는 사교적이며 나이에 비해 성숙하다.
revive,"renew, restore","부활하다, 되살아나다 ; 회복시키다",They failed to fulfill their promises to revive the economy.,그들은 경제를 회복시키겠다는 자신들의 약속을 이행하지 못했다.
breed,bring up,"(동물이 새끼를) 낳다; 기르다, 양육하다; (명) 종류; 유형; 품종; 종족; 혈통",Birds breed in the spring.,새들은 봄에 새끼를 친다.
breed,bring up,"(동물이 새끼를) 낳다; 기르다, 양육하다; (명) 종류; 유형; 품종; 종족; 혈통",What breed is your dog?,개가 무슨 종입니까?
infant,"baby, child","(7세 미만의) 유아; (형) 유아의 n. infancy 유년, 초기",Good nutrition is vital for an infant's growth.,충분한 영양섭취는 유아의 발육에 매우 중요하다.
perish,"die, be destroyed","멸망하다, 죽다; 사라지다; 썩다",Nearly all of us now know -or think we know -how the dinosaurs perished.,거의 우리 모두는 지금 -공룡이 어떻게 사라졌는가를 -알고 있거나 안다 고 생각한다.
species,,종류; 종(種),Many species of insects are on the verge of extinction.,많은 종류의 곤충이 멸종 위기에 임박해 왔다.
restrict,limit,"제한하다, 한정하다 ; 금지하다, 제지하다","In democratic countries, any efforts to restrict the freedom of the press are rightly condemned.",민주주의 국가에서는 언론의 자유를 제한하는 어떠한 노력이라도 꼭 비난 을 받는다.
hazard,"danger, peril, risk","위험; 모험; (동) 위험에 내맡기다, 위태롭 게 하다",Safety inspectors found many fire hazards in the plant.,안전 진단가들은 공장 내에 화재 위험 소지가 많다는 것을 발견했다.
particular,"special, specific","특별한, 특수한; 독특한, 특유 의",I have nothing particular to do this afternoon.,나는 오늘 오후에 특별히 할 일이 없다.
immortal,undying,"죽지 않는; 불후(不朽)의, 영원한",All immortal writers speak out of their hearts.,불멸의 작가는 충심을 토로한다.
rear,"raise, bring up, breed","기르다, 양육하다 ; 사육[재배]하다; 육성 하다; (명) 뒤, 배후; 후미, 후방; (형) 후방의, 후방에 있는",She reared six children.,그녀는 여섯 명의 아이를 길렀다.
rear,"raise, bring up, breed","기르다, 양육하다 ; 사육[재배]하다; 육성 하다; (명) 뒤, 배후; 후미, 후방; (형) 후방의, 후방에 있는",Is the dining car at the front or rear of the train?,"식당 칸은 열차의 앞쪽에 있습니까, 아니면 뒤쪽에 있습니까?"
foster,bring up,"기르다, 양육하다; 육성하다, 조장하다",Facilities in the rural areas should be improved to foster a more positive attitude to rural life.,농촌의 편의 시설이 농촌 생활에 더 긍정적인 태도를 촉진하도록 향상되어 야 한다.
premature,"early, untimely","조숙한; 너무 이른, 시기상조의 ; 너무 서 두른",It is premature to carry out the plan.,그 계획을 실행하기에는 아직 시기가 이르다.
limitation,restriction,"한계(선), 한도; 제한",There is no statute of limitations on murder cases.,살인 사건에는 공소 시효가 없다.
miraculous,,"기적적인, 초자연적인",They had a miraculous escape.,그들은 기적적인 탈출을 했다.
pregnant,,"임신한 ; 의미심장한, 함축성 있는",She is pregnant with her first child.,그녀는 첫 아이를 임신했다.
pregnant,,"임신한 ; 의미심장한, 함축성 있는",Her smile was pregnant with meaning.,그녀의 웃음은 의미를 내포하고 있었다.
anniversary,,기념일(의),Today is their fiftieth wedding anniversary.,오늘은 그들의 50주년 결혼기념일이다.
traditional,conventional,"전통적인; 관습의, 인습의","I like to wear Hanbok, the Korean traditional costume.",나는 한국의 전통 의상인 한복 입는 것을 좋아한다.
celebrate,,"축하하다, 경축하다; 거행하다",All of the family members get together to celebrate a good harvest.,가족 구성원 모두 풍성한 수확을 축하하기 위하여 한 자리에 모입니다.
conceal,hide,"숨기다, 비밀로 하다",He couldn't conceal his envy of me.,그는 나에 대한 부러움을 숨길 수 없었다.
satisfy,"content, please","만족시키다; 충족시키다, 채우다",I'm satisfied with my good grades.,나의 좋은 성적에 만족했다.
miserable,"very unhappy, unpleasant","불쌍한, 비참한, 가련한",Never did I see such a miserable sight.,나는 그렇게 불쌍한 광경을 결코 볼 수가 없었다.
swear,vow,"맹세하다, 선서하다 ; (신의 이름을 내대며) 욕설하다",I swear I'll never swear again.,다시는 욕하지 않겠다고 맹세하마.
bury,,"묻다; 매장하다, 장례식을 하다",My grandfather was killed during the Korean War and is buried at the National Cemetery.,우리 할아버지는 6.25 전쟁 중에 돌아가셔서 지금은 국립묘지에 묻혀 있다.
propose,"suggest, offer marriage","제안하다, 제의하다; 청혼하다",I would like to propose a toast.,건배할 것을 제안합니다.
propose,"suggest, offer marriage","제안하다, 제의하다; 청혼하다",Bill proposed to me.,빌이 나에게 청혼했습니다.
jealous,envious,"질투심이 많은, 투기가 강한; 시샘하는",He was jealous of Tom's success.,그는 톰의 성공을 시기했다.
envy,jealousy,"부러워하다, 질투하다; (명) 질투, 부러움, 시샘",I envy her golden hair.,나는 그녀의 금발 머리가 부럽다.
envy,jealousy,"부러워하다, 질투하다; (명) 질투, 부러움, 시샘",Turning green with envy.,사촌이 땅을 사면 배가 아프다.
regret,,"유감; 후회, 섭섭함; (동) 후회하다; 유감으로 생각하다",We all know that regret can make people miserable.,우리 모두는 후회가 사람들을 비참하게 만들 수 있다는 것을 알고 있다.
engagement,,"약혼; 약속 ; 일, 일자리; 싸움, 교전",They announced the engagement of Miss.Jeong to Mr.Kim. ,그들은 정 양과 김 군과의 약혼을 발표했다.
engagement,,"약혼; 약속 ; 일, 일자리; 싸움, 교전",I have a previous engagement.,선약이 있습니다.
divorce,,이혼; (동) 이혼하다[시키다]; 분리하다,They're getting a divorce.,그들이 이혼한대.
mourn,,"슬퍼하다, 한탄하다",She still mourns her mother's death.,그녀는 여전히 어머니의 죽음에 대해 슬퍼하고 있다.
spouse,"partner, couple",배우자 ; (pl) 부부,We need signatures of both you and your spouse.,당신과 배우자의 서명이 둘 다 필요합니다.
concern,,"걱정; 관심; 관계; (동) (수동태 또는 재귀용법) 관심을 갖다, 걱 정하다; 관계되다",Our main concern is the price.,우리의 주된 관심사는 가격 문제입니다.
concern,,"걱정; 관심; 관계; (동) (수동태 또는 재귀용법) 관심을 갖다, 걱 정하다; 관계되다",I don't concern myself with politics.,나는 정치에 관여하지 않는다.
concern,,"걱정; 관심; 관계; (동) (수동태 또는 재귀용법) 관심을 갖다, 걱 정하다; 관계되다",I'm concerned about the continuing pollution of the environment.,나는 계속되는 환경오염이 걱정스럽다.
bless,,"축복하다, 은혜를 베풀다",Good luck and God bless you!,행운과 신의 은총이 있기를!
funeral,,"장례의; (명) 장례식, 장례; 장례 행렬",How are funeral services conducted in Korea?,한국에서는 장례식이 어떻게 치러지나요?
widow,,"과부, 미망인",The widow puts her hopes on her only son.,그 미망인은 외아들에게 희망을 걸고 있다.
ceremony,,"의식, 의례; 예의, 형식",I watched the entire ceremony on television.,나는 텔레비전으로 전체 행사를 지켜보았다.
corpse,dead body,"(사람의) 시체, 송장",He is a living corpse.,그는 살아있는 송장이다.
weep,"tear, cry, mourn","눈물을 흘리다, 울다, 비탄[슬퍼] 하다",She buried her face in her hands and wept.,그녀는 두 손에 얼굴을 파묻고 울었다.
moan,"groan, sigh","신음 소리; 슬퍼함, 비탄; (동) 신음하다, 슬퍼하 다, 한탄하다",We heard the moan of the wounded.,우리는 부상자의 신음 소리를 들었다.
pledge,"swear, vow, promise","서약하다, 맹세하다; (명) 서약, 맹세; 약속; 담보, 저당",He pledged himself to stop drinking.,그는 술을 끊는다고 맹세했다.
anatomy,,"해부학, 검시(檢屍)",He performed a partial anatomy on the corpse.,그는 시체의 부분적인 해부를 했다.
integrity,honesty,"성실, 정직, 고결, 청렴",The beloved preacher was of great integrity.,그 사랑 받는 목사는 아주 고결한 사람이었다.
cemetery,graveyard,"(교회에 부속되지 않은) 묘지, 공동묘지",His ancestors lie in the cemetery.,그의 조상은 공동묘지에 묻혀 있다.
wretched,"unhappy, unpleasant","가엾은, 불쌍한, 비참한, 불행한",This aching tooth makes me feel wretched.,이가 아파서 처량한 생각이 든다.
obituary,,"부고(訃告) , 사망 기사, 사망 광고",I saw his obituary in today's paper.,나는 그의 사망 소식을 오늘자 신문에서 읽었다.
ancestor,"ascendant, forefather","선조, 조상",We observed a memorial service to our ancestors.,우리는 조상들에게 제사를 지냈다.
offspring,"descendant, posterity","자식, 자녀; 자손, 후예",These legends should be handed down to our offspring.,이 전설들은 우리 자손들에게 전해져야 한다.
relative,comparative,"친척, 친족 , 인척; (형) 비교상의, 상 대적인",All her distant relatives came to the wedding.,그녀의 먼 친척들이 모두 결혼식에 참석했다.
household,family,"가족(의), 세대(의)",Who is the head of your household?,누가 가장입니까?
household,family,"가족(의), 세대(의)",The maid was dead tired of her household chores.,가정부는 자질구레한 가사 일에 몹시 싫증 나 있었다.
support,,"부양하다 , 먹여 살리다 ; (재정적으로) 지원하다; 후원하다",I've got to keep my nose to the grindstone to support my family.,난 가족을 부양하기 위해서 열심히 일해야 해요.
support,,"부양하다 , 먹여 살리다 ; (재정적으로) 지원하다; 후원하다",I cannot support your opinion.,당신의 의견을 지지할 수 없습니다.
respect,look up to,"존경(하다), 존중 (하다)",We learned to respect each other's views.,우리는 상대방의 견해를 존중하는 법을 배웠다.
generation,,세대; 동시대 사람들; 발생,The house has been preserved for future generations.,그 집은 장래의 세대들을 위해 보존되어 있다.
conflict,,"충돌, 대립; 갈등; 투쟁; (동) 투쟁하다, 충돌하다; 모순되다",Labor-management disputes partly result from social conflicts.,노사 갈등의 원천은 사회적 갈등에서 출발한다.
indifferent,,"무관심한, 마음에 두지 않는, 냉담한",He is indifferent to studying.,그는 공부에는 관심이 없다.
native,,"a. 출생지의, 타고난; 그 지방 고유의 n. 원주민; ~출신자",They are native speakers who are well qualified to teach their native language to learners.,그들은 자신들의 모국어를 외국인 학생들에게 가르치는 자질이 아주 뛰어 난 원어민이다.
similar,,"유사한, 비슷한, 같은",Her response was similar.,그녀의 반응도 비슷했다.
proud,,"자부심이 있는, 긍지가 있는",Koreans are very proud of their language.,한국인들은 그들의 언어를 매우 자랑스러워한다.
trust,"belief, faith, confidence","신뢰, 신용, 신임",Their relationship is based on trust and understanding.,그들의 관계는 신뢰와 이해에 바탕을 두고 있다.
influence,"affect, have an effect on","영향, 영향력; 세력; (동) 영향을 미치다","In Korea, the influence of women in the workplace is growing.","한국의 경우, 직장에서 여성의 영향력이 증가하고 있다."
strict,stern,"엄격한, 엄한, 엄밀한","Our teacher looks kind, but he is very strict during the class.","우리 선생님은 인자한 것 같지만, 수업 중에는 매우 엄하시다."
resemble,take after,"닮다, 공통점이 있다",He resembles his father closely.,그는 자기 아버지를 꼭 닮았다.
livelihood,living,생계; 살림,Measures to stabilize the people´s livelihood are urgently needed.,민생을 안정시킬 대책이 시급하다.
elder,,"연장자, 웃어른; (형) 나이가 위인",It is rude of you to talk like that to your elders.,어른 앞에서 그렇게 말하는 것은 당돌한 짓이다.
elder,,"연장자, 웃어른; (형) 나이가 위인",I have three elder sisters.,나는 손위의 누이가 셋이 있다.
ascendant,"ancestor, forefather","우월, 우세; 선조, 조상; (형) 상승하는, 떠오르는",We know very little about how our ascendants lived.,우리는 조상들이 어떻게 살았는가에 대해서 거의 알지 못한다.
heritage,inheritance,상속[세습] 재산; 유산; 전통,Father's virtue is the best heritage for his child.,아버지의 덕행은 아이에게 최상의 유산이다.
gene,,"유전자, 유전 인자",Genes are tiny units of heredity located within every living thing.,유전자란 모든 생물체가 가지고 있는 작은 유전형질 단위이다.
paternal,,"아버지의, 아버지다운",I do know the importance of the paternal love.,나는 아버지의 사랑의 중요성을 안다.
maternal,,"어머니의, 어머니다운",She had little maternal instinct.,그녀는 모성 본능이 거의 없다.
parental,,"부모의, 부모다운",You should not neglect parental responsibilities.,부모의 책임을 소홀히 해서는 안 된다.
dissuade,,(설득하여) 단념시키다,I dissuaded him from running away from home.,나는 그가 가출하지 않도록 타일렀다.
posterity,"descendant, offspring","(집합적) 자 손; 후세, 후대",We hope to leave a better world to posterity.,우리는 후손들에게 더 나은 세상을 남겨주고 싶다.
descendant,,"자손, 후예",He is a descendant of Queen Victoria.,그는 빅토리아 여왕의 후손이다.
inherit,,상속하다; 물려받다,"If he dies without making a will, his closest relative will inherit.",만약에 그가 유언장을 작성하지 않고 죽는다면 그의 가장 가까운 친척이 상속을 받을 것이다.
heredity,,유전; 형질 유전; 세습; 전통,"Every character is influenced by the heredity, environment and education.","모든 품성은 유전, 환경, 그리고 교육에 영향을 받는다."
nurture,"bring up, raise, rear","양육하다, 기르다","Herself only a child, she had to nurture three younger sisters.",그녀 자신도 어렸지만 그녀는 세 명의 어린 여동생을 키워야 했다.
adult,grown-up,"성인, 어른; 성년자",There are two adults and one child.,어른 둘에 아이 한 명입니다.
familiar,"intimate, friendly","친(밀)한 , 가까운; 익숙한 , 정통한",I'm not so familiar with the manners and customs of the Americans.,저는 미국인들의 풍속 습관은 별로 잘 모릅니다.
harmony,"agreement, cooperation","화목, 조화, 화합, 일치",I want to live in a home with peace and harmony.,나는 평화롭고 화목한 가정에서 살고 싶다.
fame,,"명성, 평판",That scandal harmed her fame.,그 추문은 그녀의 명예에 해를 끼쳤다.
confuse,"puzzle, bewilder","혼동하다, 혼동시키다; 당황하게 하다",Don't confuse liberty with license.,자유와 방종을 혼동하지 마라.
attract,charm,"(주의·흥미 등을) 끌다; 마음을 끌다, 매혹하다",What is it that attracted you to her?,그 여자의 어디가 그렇게 마음에 드세요?
lonely,lonesome,"외로운, 고독한, 쓸쓸한","When I have no one to love, I feel lonely and depressed.",사랑하는 사람이 없으면 외롭고 우울해진다.
sorrow,"sadness, grief","슬픔, 비애, 비통",The error of one moment becomes the sorrow of whole life.,한 순간의 실수가 일생의 슬픔이 된다.
sincere,"honest, true, frank","성실한, 진실한; 거짓 없는",A man should be sincere regardless whether he is rich or poor.,부유하건 가난하건 간에 어떻든지 사람은 진실해야 한다.
broad-minded,,"마음이 넓은, 너그러운, 아량이 있는",My grandmother is quite broad-minded.,할머니는 마음이 아주 넓으시다.
narrow-minded,,"편협한, 마음이 좁은",He is known as a narrow-minded person.,그는 속이 좁은 사람으로 알려져 있다.
cherish,"treasure, care for",소중히 하다; 소중히 기르다; (소원 등을) 품다,She cherishes the precious memories of her childhood.,그녀는 어린 시절의 귀중한 추억을 소중히 간직하고 있다.
fellow,companion,"동무, 친구; 동료; (구어) 놈, 녀석; (형) 동료의",He is the most obstinate fellow I have ever seen.,저만큼 고집 센 친구는 본 적이 없다.
fellow,companion,"동무, 친구; 동료; (구어) 놈, 녀석; (형) 동료의",He is always polite and considerate towards his fellow workers.,그는 항상 동료들에게 정중하고 마음을 쓴다.
peer,,"동료, 또래",I have many peers to help me.,나는 나를 도와줄 동료가 많다.
ridiculous,,"우스운, 터무니없는",It's ridiculous to apply for that position.,그런 자리에 지원하다니 터무니없다.
tempt,"attract, seduce","마음을 끌다, 유혹하다, 부추기다",The lottery tempts many who hope to become millionaire through the squandering of minuscule sums.,복권은 소액을 낭비해서 백만장자가 되기를 바라는 많은 사람들을 유혹한 다.
delightful,"pleasant, enjoyable","매우 기쁜, 즐거운",His delightful look pleased me.,그의 기쁜 얼굴은 나를 기쁘게 했다.
childish,youthful,어린애 같은; 유치한,He was so childish that he couldn't resist temptation.,그는 너무 어린애 같아서 유혹을 물리칠 수 없었다.
mankind,human being,"인류, 인간; (드물게) 남성, 남자",I consider ignorance the primary enemy of mankind.,나는 무지를 인간의 주된 적이라고 여긴다.
unfriendly,"unkind, hostile","불친절한; 적의가 있는; 형편이 나쁜, 불 리한",She was unfriendly toward me.,그녀는 나를 쌀쌀맞게 대했다.
confidential,secret,"비밀의, 은밀한 , 내밀한, 기밀의",His secretary flatly denied leaking any confidential information.,그의 비서는 어떤 기밀 정보도 흘리지 않았다고 딱 잘라 부인했다.
hostile,unfriendly,적의 있는; 적개심에 불타는,They said society is hostile and unfriendly.,그들은 사회가 자신들을 적대시하고 비우호적이라고 말했다.
cynical,,"빈정대는, 냉소적인",They received cynical responses from many people.,그들은 많은 사람들에게 냉소적인 반응을 받았다.
hospitable,,"환대하는; 공손한, 극진한",Henry was very hospitable to us when we visited him.,헨리를 방문했을 때 그는 우리를 환대했다.
embrace,hug,"얼싸안다, 껴안다, 포옹하다; 기꺼이 받아들이다",She embraced her son tenderly.,그녀는 아들을 포근히 껴안았다.
melancholy,sad-spirited,"우울한, 침울한; (명) 우울, 침울",We become melancholy and miserable when we are alone for long periods of time.,우리는 장시간 혼자 있을 때 우울해지고 슬퍼진다.
solitary,"lonely, living alone","고독한, 외로운, 혼자의","As a solitary traveler, most of the fun comes from meeting people.","혼자 여행하는 사람으로서, 즐거움의 대부분은 사람들을 만나는 것에서 비 롯된다."
orphanage,,고아원,"He donated $1,000 to an orphanage.","그는 고아원에 1,000달러를 기부했다."
seduce,tempt,"부추기다, 속이다, 꾀다; (여자를) 유혹하다; 매혹시키 다",Are you trying to seduce my boyfriend?,너 지금 내 남자 친구를 유혹해 보겠다는 거니?
naive,,"순진한, 소박한 , 천진난만한",It’s naive of you to believe that.,그것을 믿다니 너도 순진하구나.
cooperate,work together,"협력하다, 협동하다",They are cooperating in various ways with the United States and its partners.,그들은 미국과 그 우방국들에 여러 가지 방식으로 협력하고 있다.
juvenile,,소년[소녀]의,Juvenile crimes show a tendency to increase.,소년 범죄가 증가하는 경향이 있다.
prepare,get ready,"준비하다, 마련하다","Before you take any action, prepare well.",어떤 행동을 하기 전에 준비를 잘 하여라.
blunder,"error, mistake",큰 실수(를 하다),The bus driver was careful not to commit a blunder.,그 버스 기사는 큰 실수를 하지 않도록 조심했다.
aim,"goal, target","겨누다; 목표로 삼다; (명) 목표, 목적",Her aim was to be a singer. ,그녀의 목표는 가수가 되는 것이었다.
aim,"goal, target","겨누다; 목표로 삼다; (명) 목표, 목적",He aimed at the tree with his arrow.,그는 나무를 향해 화살을 겨누었다. 
suggest,,"제의하다, 제안하다; 암시하다; 생각나게 하다",When did I suggest such a plan to you?,내가 언제 그런 계획을 당신에게 제안했습니까?
suggest,,"제의하다, 제안하다; 암시하다; 생각나게 하다",The medical evidence suggests (that) he is guilty.,의학적 증거는 그가 유죄임을 시사하고 있다.
approve,agree,"찬성하다, 인정하다, 승인하다",Her parents didn't approve of her marriage.,그녀의 부모는 그녀의 결혼을 찬성하지 않았다.
involve,concern,"포함하다, 관련시키다; 연루되다","The test involves simple calculations, such as addition and subtraction.",시험은 덧셈과 뺄셈과 같은 단순한 계산을 포함한다.
desire,,"원하다, 바라다; (명) 욕구, 욕망",In life we must do many things we don’t desire to do.,인생에는 하고 싶지 않아도 해야 하는 일이 많다.
opportunity,chance,기회,Every man should have a fair opportunity to make the best of himself.,누구나 자기의 역량을 충분히 발휘할 기회가 공평하게 주어져야 한다.
swift,"fast, quick, rapid, speedy","빠른, 신속한; 즉석의; (부) 재빨리, 신속하게",Prospects for a swift resolution remain dim.,조속한 타결의 전망은 불투명한 상태이다.
wicked,,"사악한, 나쁜","As far as I know, he is not a wicked man.",내가 알고 있는 한에서는 그는 악인이 아니다.
crucial,"important, decisive, vital, critical","중대한, 결정적인",Certain genes play a crucial role in human growth and development.,어떤 유전자들은 인간의 성장과 발육에 중대한 역할을 한다.
vice,,"악덕, 악, 부도덕; 비행; 악습",He was too upset to distinguish vice from virtue.,그는 너무나 화가 나서 선악을 구별할 수 없었다.
dreary,,"쓸쓸한, 음울한; 지루한","Rowling would flee her dreary apartment for coffee houses, where she filled notebooks with Harry’s story.","롤링은 자신의 황량한 아파트를 도망치듯 나와 커피 하우스로 가서, 그곳에 서 메모지 가득 해리에 대한 이야기를 채워나갔다."
exact,,"정확한, 정밀한; 꼼꼼한",I don't know the exact date where he came.,나는 그가 온 정확한 날짜를 모른다.
acquaintance,,"아는 사람, 알고 있음; 지식",The woman had many acquaintances in the city.,그 여자는 도시에서 아는 사람이 많았다.
allow,permit,"허락하다, 허가하다; 인정하다",Walking is the only physical activity the doctor would allow her to do.,의사가 그녀에게 허락한 유일한 신체 활동은 걷기였다.
adopt,,"채택하다, 채용하다; 양자[녀]로 삼다 n. adoption 채택, 양자 결 연",It is a big mistake for the Government to adopt such a policy.,정부가 그런 정책을 채택한다는 것은 큰 실수이다.
accompany,,"동반하다, 동행하다; 동시에 일어나다; 반주를 하다",Children ten and under must be accompanied by an adult.,열 살 이하 어린이들은 어른과 동반해야 한다.
sensitive,delicate,"민감한, 예민한, 섬세한",She is unusually sensitive to the cold.,그녀는 남달리 추위에 민감하다.
sensible,"wise, intelligent","분별 있는, 똑똑한; 깨달은, 느낄 수 있는",The sensible solution is to talk about the disagreements and try to compromise.,현명한 해결은 의견의 불일치에 대해 토론하고 타협하려고 노력하는 것이 다.
prefer,,오히려 ~을 좋아하다,Few children prefer working to playing.,노는 것보다 공부를 좋아하는 어린이는 거의 없다.
trivial,trifling,"하찮은, 사소한",I am not concerned with such trivial matters.,나는 그런 하찮은 문제에는 관심이 없다.
gloomy,melancholy,"어두운, 음침한, 우울한",Her smile is a breath of fresh air in this gloomy office.,그녀의 미소는 이 우울한 사무실의 한 줄기 신선한 공기이다.
extraordinary,"unusual, uncommon","비상한, 비범한, 보 통이 아닌; 색다른, 멋진","Whatever their type, heroes are selfless people who perform extraordinary acts.","그들이 어떤 유형이든, 영웅들은 비범한 일을 해내는 이기심이 없는 사람들 이다."
diverse,various,"다른; 다양한, 여러 가지의",She has a diverse range of interests and experience.,그녀는 다양한 범위의 관심과 경험을 가지고 있다.
contribute,donate,"기부하다, 기증하다; 공헌하다",They contributed money to relieving the poor.,그들은 빈민 구제를 위해 돈을 기부했다.
contribute,donate,"기부하다, 기증하다; 공헌하다",Science has contributed much to modern technology.,과학은 현대 과학 기술에 많은 기여를 해왔다.
transient,temporary,일시적인; 덧없는,The liquid has a transient warming effect.,그 액체는 일시적으로 몸을 따뜻하게 하는 효과가 있다.
determine,"decide, conclude","결정하다, 결심하다",It was difficult to determine exactly where the accident had taken place.,그 사고가 어디서 발생했는지 정확히 결정하기는 어려웠다.
restaurant,,"음식점, 레스토랑 ; (호텔·극장 등의) 식당",The hotel has a wide variety of specialty restaurants.,이 호텔에는 다양한 종류의 전문 식당이 있다.
dessert,,"후식, 디저트",My friend ordered the most delicious dessert at the restaurant.,내 친구는 그 식당에서 제일 맛있는 디저트를 주문했다.
flavor,"savor, taste","(독특한) 맛, 풍미; 조미료, 양념",You have to grill ribs over charcoal to get the real flavor.,갈비는 숯불 위에서 구워야 제 맛이 나요.
taste,flavor,"미각; 맛; 취미, 기호; (동) 맛을 보다, 시식하다","I've got a cold, so my taste's quite gone.",감기에 걸려 맛을 전혀 모르겠다.
taste,flavor,"미각; 맛; 취미, 기호; (동) 맛을 보다, 시식하다",She has excellent taste in dress.,그녀는 옷에 대한 취미가 퍽 고상하다.
dine,have dinner,정찬을 들다; (일반적) 식사하다,Shall we dine out today?,우리 오늘 외식할까요?
grain,,"곡물, 곡류; 낟알",As usual the peasants are busy scattering grain seeds.,언제나처럼 농부들은 곡물 씨앗 뿌리기에 바쁘다.
flour,,"밀가루; 분말, 가루",This machine crushes wheat grain to make flour.,이 기계는 밀 낱알을 으깨어 밀가루를 만든다.
cereal,,"(보통 pl.) 곡물, 곡류; 곡물식",Oats and barley are cereals.,귀리와 보리는 곡물이다.
cereal,,"(보통 pl.) 곡물, 곡류; 곡물식","I usually have cereal with milk and drink orange juice, but occasionally I eat eggs and toast.",보통 우유에 탄 시리얼을 먹고 오렌지 주스를 마시지만 가끔 계란과 토스 트를 먹는다.
meal,,"식사, 식사 시간 ; 한 끼(분)",Our school provides meals for students at lunch time.,우리 학교에서는 점심시간에 급식을 한다.
feast,"banquet, festival",축제(일); 잔치; 진수성찬,"Korean weddings are a sort of ""feast"" where people come to wine and dine, and have fun together.",한국의 결혼식은 사람들이 먹고 마시고 같이 흥겨운 시간을 갖는 일종의 잔치이다.
freeze,,"얼다, 얼리다, 냉동하다",This fish freezes well.,이 생선은 냉동 보존이 된다.
rotten,"corrupt, decaying, spoiled","썩은, 부패한; 불결한","The apple appeared perfect, but it was rotten inside.",그 사과는 겉으로 완벽해 보였지만 속은 썩었다.
nutrition,,영양; 영양 공급[섭취]; 음식물,Good nutrition is vital for an infant's growth.,충분한 영양 섭취는 유아의 발육에 매우 중요하다.
protein,,단백질,"Meat can supply protein and iron, but contains little calcium.",고기는 단백질과 철분을 제공하지만 칼슘은 거의 없다.
raw,"uncooked, natural","날 것의; 설익은 ; 가공하지 않은, 원료 그대 로의",Would you like to try some raw fish?,생선회 좀 먹어 보시겠습니까?
raw,"uncooked, natural","날 것의; 설익은 ; 가공하지 않은, 원료 그대 로의",Do you expect any drop in the price of raw materials in the future?,앞으로 원자재 가격이 인하되리라고 생각하세요?
beverage,something to drink,"마실 것, 음료",Can I get you water or some other beverage to drink?,물이나 뭐 다른 음료수 좀 가져다 드릴까요?
absorb,"digest, soak up","흡수하다, 빨아들이다, 섭취하다; 열중시키 다 n.absorption 흡수; 열중",Dry sand absorbs water.,마른 모래는 물을 빨아들인다.
chef,,주방장; 요리사,I'll give your order to the chef.,주방장에게 주문하신 것을 전하겠습니다.
spicy,hot,싸한; 매운; 향긋한 ; 향(신)료를 넣은,"Actually, he's not supposed to eat any spicy food for a while.","사실, 그는 당분간 매운 음식을 먹어서는 안 된다."
sour,acid,"시큼한, 신; 불쾌한, 싫은 ; 심술궂은",I don't like fruits because they taste sour.,나는 과일을 신맛 때문에 싫어한다.
bitter,,(맛이) 쓴; 쓰라린; 지독한,A good medicine is bitter to the mouth but of value for the body.,좋은 약은 입에 쓰나 몸에 이롭다.
season,flavor,"맛을 내다, 간을 맞추다, 조미하다, 양념하다; (명) 계 절, 시기","Please, season it with garlic.",마늘을 넣어서 맛을 내세요.
deliver,"carry, hand over","배달하다 ; 전달하다, 넘겨주다; 구해내다",A different route is being used to deliver the vegetables.,다른 경로가 야채들을 배달하기 위해 사용되었다.
recipe,,"요리법, 조립법",Can I substitute milk for yogurt in the recipe?,요리법에서 요구르트 대신 우유를 사용해도 되나요?
swallow,gulp,"들이키다, 삼키다 , 꿀꺽 삼키다; (명) 삼킴, 마심; 제비",My throat hurt when I swallowed food.,"음식을 삼킬 때, 목이 아팠다."
